"CUSTOMER_ID","NAME","DATA_USAGE","DATA_LIMIT"
9713,Hacer,0,0
9714,Özlem,0,0
9715,Özlem,0,0
9717,Merve,8493.24,10240
9721,Meryem,8920.16,10240
9722,Aysel,0,0
9723,Yasemin,0,0
9726,Sevim,15523.31,20480
9727,Esra,9128.5,10240
9730,Sultan,17534.6,20480
9733,Hülya,0,0
9740,İbrahim,0,0
9741,Ayşe,0,0
9746,Emine,0,0
9747,Abdullah,17524.12,20480
9748,Emre,0,0
9750,Recep,0,0
9755,Sultan,0,0
9756,Esra,18044.07,20480
9757,Ali,18144.6,20480
9758,Rabia,18294.98,20480
9760,Büşra,17564.73,20480
9766,Zehra,19062.25,20480
9768,Ali,0,0
9770,Fatih,0,0
9776,Merve,17492.47,20480
9778,Yağmur,0,0
9779,Melek,0,0
9785,Elif,0,0
9786,Sevim,0,0
9787,Mahmut,0,0
9788,Merve,0,0
9789,İsmail,0,0
9793,Mahmut,0,0
9797,Süleyman,0,0
9798,Ramazan,9141.59,10240
9804,Kadir,0,0
9806,Merve,0,0
9807,Osman,9064.84,10240
9809,İsmail,18618.03,20480
9811,Osman,18033.1,20480
9812,Zeynep,0,0
9813,Esra,0,0
9815,Sevim,19255.93,20480
9817,Özlem,0,0
9820,Yasin,15795.17,20480
9823,Yasin,7791.67,10240
9824,Murat,0,0
9826,Burak,0,0
9827,Adem,0,0
9828,Adem,0,0
9829,Zehra,0,0
9830,Dilek,8541.82,10240
9832,Ayşe,0,0
9834,Yağmur,0,0
9835,Fadime,0,0
9837,Fadime,0,0
9839,Büşra,0,0
9844,Özlem,0,0
9846,Tuğba,8086.07,10240
9847,Rabia,15494.84,20480
9848,Ömer,0,0
9850,Melek,0,0
9854,Dilek,0,0
9856,Yağmur,17719.38,20480
9857,Hacer,9797.29,10240
9858,Melek,19454.03,20480
9860,Ayşe,0,0
9861,Fadime,0,0
9863,Yasemin,0,0
9864,Muhammed,7994.46,10240
9865,İbrahim,19786.78,20480
9555,Kübra,0,0
9556,Mehmet,18042.41,20480
9557,Enes,0,0
9558,Yasin,0,0
9562,Recep,19877.27,20480
9564,Sultan,0,0
9565,Mustafa,0,0
9570,Süleyman,17055.35,20480
9574,Murat,0,0
9576,Fadime,0,0
9580,Sultan,0,0
9582,Özlem,0,0
9586,Mahmut,0,0
9592,Recep,0,0
9596,Sultan,17592.9,20480
9598,Halil,18603.44,20480
9600,Büşra,20104.96,20480
9601,Abdullah,15834.13,20480
9603,Merve,0,0
9610,Ayşegül,19417.5,20480
9612,Serkan,0,0
9614,Murat,19057.74,20480
9615,Osman,16238.69,20480
9619,Hülya,0,0
9622,Tuğba,0,0
9623,Yasemin,0,0
9626,Fadime,0,0
9628,Hüseyin,0,0
9632,Büşra,0,0
9638,Süleyman,19629.47,20480
9639,Ali,0,0
9641,Aysel,0,0
9644,Murat,0,0
9645,Rabia,0,0
9656,Enes,20253.24,20480
9660,Merve,0,0
9662,Hasan,17352.26,20480
9663,Elif,17123.03,20480
9666,Sevim,18334.99,20480
9671,Zeynep,0,0
9672,Burak,0,0
9675,Ramazan,0,0
9676,Yağmur,0,0
9677,Osman,8856.72,10240
9678,Ömer,17042.32,20480
9679,Elif,9123.46,10240
9682,Hasan,0,0
9683,Adem,0,0
9684,Songül,0,0
9687,Recep,0,0
9688,Fadime,0,0
9690,Ali,0,0
9692,Osman,0,0
9697,Merve,0,0
9700,Abdullah,0,0
9701,Aysel,20019.76,20480
9702,Muhammed,10076.93,10240
9704,Melek,17499.99,20480
9705,Yasin,18428.01,20480
9707,Hatice,0,0
9708,Melek,9771.37,10240
9710,Fatma,0,0
9396,İsmail,19942.46,20480
9401,Sevim,19132.19,20480
9404,Hatice,0,0
9405,Halil,0,0
9409,Meryem,0,0
9411,Serkan,9693.34,10240
9413,Ayşegül,18317.29,20480
9415,Fatih,0,0
9416,Osman,18028.38,20480
9417,Mehmet,8394.96,10240
9419,Yusuf,8746.55,10240
9420,Fadime,0,0
9421,Rabia,0,0
9423,Hüseyin,0,0
9424,Meryem,0,0
9430,Mustafa,20023.41,20480
9432,Fadime,0,0
9433,Süleyman,17056.21,20480
9435,Kübra,0,0
9436,Yusuf,0,0
9437,Emine,0,0
9439,Ömer,18924.1,20480
9443,Özlem,0,0
9447,Fatma,17313.64,20480
9453,Ömer,19810.66,20480
9455,Fatih,8974.98,10240
9456,Osman,0,0
9461,Fatih,19287.91,20480
9463,Muhammed,16777.1,20480
9464,Hatice,0,0
9465,Ayşe,18827.48,20480
9467,Burak,0,0
9469,Fadime,0,0
9474,İsmail,16386.08,20480
9476,Sultan,0,0
9479,Ali,0,0
9486,Kadir,0,0
9487,Murat,18112.97,20480
9490,Yasemin,8230.96,10240
9493,Fatma,9886.34,10240
9494,Merve,0,0
9496,Merve,0,0
9498,Yağmur,0,0
9499,Emine,16307.24,20480
9500,Emine,0,0
9501,Fatma,9945.32,10240
9502,Ali,0,0
9503,Tuğba,0,0
9504,Meryem,0,0
9505,Serkan,0,0
9507,Osman,8942.19,10240
9510,Muhammed,0,0
9511,Zeynep,9582.4,10240
9512,Yusuf,0,0
9513,Ayşegül,8339.79,10240
9516,Ayşe,19123.53,20480
9520,Osman,20284.8,20480
9521,Muhammed,0,0
9525,Emine,0,0
9526,Emre,17218.75,20480
9527,Yasin,0,0
9528,Mustafa,18287.97,20480
9530,Yasin,0,0
9534,Mahmut,0,0
9536,Zeynep,0,0
9538,Osman,19844.03,20480
9540,Dilek,0,0
9547,İbrahim,16427.74,20480
9550,Melek,8917.69,10240
9551,Mahmut,0,0
9240,Rabia,20414.02,20480
9244,Serkan,19442.33,20480
9251,Hacer,0,0
9255,Kadir,16160.67,20480
9256,Tuğba,18409.33,20480
9260,Hülya,0,0
9261,Rabia,0,0
9262,Osman,0,0
9265,Yusuf,0,0
9272,Sultan,0,0
9278,Aysel,0,0
9280,Hacer,0,0
9281,Meryem,15713.31,20480
9283,Leyla,8868.34,10240
9287,Ömer,0,0
9294,Serkan,0,0
9295,İsmail,0,0
9296,Mustafa,0,0
9298,Serkan,0,0
9299,Leyla,16445.99,20480
9303,İsmail,0,0
9306,Recep,0,0
9308,Osman,0,0
9309,Aynur,0,0
9311,Hüseyin,0,0
9312,Yağmur,0,0
9315,Hüseyin,16834.17,20480
9317,Rabia,0,0
9320,Serkan,18764.27,20480
9323,Burak,18417.64,20480
9325,Hüseyin,0,0
9333,Fatih,0,0
9334,Kübra,10161.31,10240
9335,Ahmet,20186.93,20480
9339,Hülya,19259.75,20480
9340,Ömer,16546.37,20480
9342,Serkan,8340.77,10240
9344,Furkan,15557.08,20480
9345,Esra,0,0
9346,Fatih,0,0
9349,Hülya,16647,20480
9350,Mustafa,17120.86,20480
9351,Adem,0,0
9354,Leyla,8613.33,10240
9355,Aysel,0,0
9356,Dilek,0,0
9361,Emre,0,0
9366,Murat,7837.03,10240
9367,Kadir,0,0
9368,Osman,16301.42,20480
9369,Yasemin,17644.46,20480
9371,Fadime,0,0
9372,Enes,18439.18,20480
9376,Metin,0,0
9379,Osman,19870.4,20480
9381,Furkan,0,0
9382,Adem,8205.56,10240
9383,Osman,0,0
9385,Murat,0,0
9387,Ahmet,0,0
9391,Songül,18910.8,20480
9393,Ahmet,0,0
9394,Ramazan,9220.51,10240
9084,Fatma,0,0
9085,Zehra,8816.32,10240
9086,Kadir,16100.89,20480
9087,Ramazan,0,0
9090,Murat,0,0
